id,name,hex,r,g,b,is_trans
1077,Fabuland Lime,#78FC78,120,252,120,False
1078,Duplo Medium Green,#468A5F,70,138,95,False
1079,Duplo Light Green,#60BA76,96,186,118,False
1080,Light Tan,#F3C988,243,201,136,False
1081,Rust Orange,#872B17,135,43,23,False
1082,Clikits Pink,#FE78B0,254,120,176,False
1083,Two-tone Copper,#945148,148,81,72,False
1084,Two-tone Gold,#AB673A,171,103,58,False
1085,Two-tone Silver,#737271,115,114,113,False
1086,Pearl Lime,#6A7944,106,121,68,False
1087,Duplo Pink,#FF879C,255,135,156,False
1088,Medium Brown,#755945,117,89,69,False
1089,Warm Tan,#CCA373,204,163,115,False
1090,Duplo Turquoise,#3FB69E,63,182,158,False
1091,Warm Yellowish Orange,#FFCB78,255,203,120,False
1092,Metallic Copper,#764D3B,118,77,59,False
1093,Light Lilac,#9195CA,145,149,202,False
1094,Trans-Medium Purple,#8D73B3,141,115,179,False
1095,Trans-Black,#635F52,99,95,82,True
1096,Glitter Trans-Bright Green,#D9E4A7,217,228,167,True
1097,Glitter Trans-Medium Purple,#8D73B3,141,115,179,True
1098,Glitter Trans-Green,#84B68D,132,182,141,True
1099,Glitter Trans-Pink,#E4ADC8,228,173,200,True
1100,Clikits Yellow,#FFCF0B,255,207,11,False
1101,Duplo Dark Purple,#5F27AA,95,39,170,False
1102,Trans-Neon Red,#FF0040,255,0,64,True
1103,Pearl Titanium,#3E3C39,62,60,57,False
1104,HO Aqua,#B3D7D1,179,215,209,False
1105,HO Azure,#1591CB,21,145,203,False
1106,HO Blue-gray,#354E5A,53,78,90,False
1107,HO Cyan,#5B98B3,91,152,179,False
1108,HO Dark Aqua,#A7DCCF,167,220,207,False
1109,HO Dark Blue,#0A3463,10,52,99,False
1110,HO Dark Gray,#6D6E5C,109,110,92,False
1111,HO Dark Green,#184632,24,70,50,False
1112,HO Dark Lime,#B2B955,178,185,85,False
1113,HO Dark Red,#631314,99,19,20,False
1114,HO Dark Sand Green,#627A62,98,122,98,False
1115,HO Dark Turquoise,#10929D,16,146,157,False
1116,HO Earth Orange,#BB771B,187,119,27,False
1117,HO Gold,#B4A774,180,167,116,False
1118,HO Light Aqua,#A3D1C0,163,209,192,False
1119,HO Light Brown,#965336,150,83,54,False
1120,HO Light Gold,#CDC298,205,194,152,False
1121,HO Light Tan,#F9F1C7,249,241,199,False
1122,HO Light Yellow,#F5FAB7,245,250,183,False
1123,HO Medium Blue,#7396C8,115,150,200,False
1124,HO Medium Red,#C01111,192,17,17,False
1125,HO Metallic Blue,#0D4763,13,71,99,False
1126,HO Metallic Dark Gray,#5E5E5E,94,94,94,False
1127,HO Metallic Green,#879867,135,152,103,False
1128,HO Metallic Sand Blue,#5F7D8C,95,125,140,False
1129,HO Olive Green,#9B9A5A,155,154,90,False
1130,HO Rose,#D06262,208,98,98,False
1131,HO Sand Blue,#6E8AA6,110,138,166,False
1132,HO Sand Green,#A0BCAC,160,188,172,False
1133,HO Tan,#E4CD9E,228,205,158,False
1134,HO Titanium,#616161,97,97,97,False
1135,Metal,#A5ADB4,165,173,180,False
1136,Reddish Orange,#CA4C0B,202,76,11,False
1137,Sienna Brown,#915C3C,145,92,60,False
1138,Umber Brown,#5E3F33,94,63,51,False
1139,Opal Trans-Yellow,#F5CD2F,245,205,47,True
1140,Neon Orange,#EC4612,236,70,18,False
1141,Neon Green,#D2FC43,210,252,67,False
1142,Dark Olive Green,#5D5C36,93,92,54,False
1143,Glitter Milky White,#FFFFFF,255,255,255,False
1144,Chrome Red,#CE3021,206,48,33,False
1145,Ochre Yellow,#DD9E47,221,158,71,False
1146,Warm Pink,#F6B7BF,246,183,191,False
1147,Blue Violet,#A3A9FF,163,169,255,False
9999,[No Color/Any Color],#05131D,5,19,29,False
